"Código","Unidade Territorial","UF","Referência","Total de famílias em situação de rua inscritas no Cadastro Único"
"210005","AÇAILÂNDIA","MA","08/2012","0"
"210005","AÇAILÂNDIA","MA","09/2012","0"
"210005","AÇAILÂNDIA","MA","10/2012","0"
"210005","AÇAILÂNDIA","MA","11/2012","0"
"210005","AÇAILÂNDIA","MA","12/2012","0"
"210005","AÇAILÂNDIA","MA","11/2013","0"
"210005","AÇAILÂNDIA","MA","10/2013","0"
"210005","AÇAILÂNDIA","MA","12/2013","0"
"210005","AÇAILÂNDIA","MA","08/2013","0"
"210005","AÇAILÂNDIA","MA","09/2013","0"
"210005","AÇAILÂNDIA","MA","07/2013","0"
"210005","AÇAILÂNDIA","MA","06/2013","0"
"210005","AÇAILÂNDIA","MA","05/2013","0"
"210005","AÇAILÂNDIA","MA","04/2013","0"
"210005","AÇAILÂNDIA","MA","03/2013","0"
"210005","AÇAILÂNDIA","MA","02/2013","0"
"210005","AÇAILÂNDIA","MA","01/2013","0"
"210005","AÇAILÂNDIA","MA","11/2014","0"
"210005","AÇAILÂNDIA","MA","10/2014","0"
"210005","AÇAILÂNDIA","MA","12/2014","0"
"210005","AÇAILÂNDIA","MA","09/2014","0"
"210005","AÇAILÂNDIA","MA","08/2014","0"
"210005","AÇAILÂNDIA","MA","07/2014","0"
"210005","AÇAILÂNDIA","MA","02/2014","0"
"210005","AÇAILÂNDIA","MA","03/2014","0"
"210005","AÇAILÂNDIA","MA","06/2014","0"
"210005","AÇAILÂNDIA","MA","05/2014","0"
"210005","AÇAILÂNDIA","MA","04/2014","0"
"210005","AÇAILÂNDIA","MA","01/2014","0"
"210005","AÇAILÂNDIA","MA","11/2015","0"
"210005","AÇAILÂNDIA","MA","07/2015","0"
"210005","AÇAILÂNDIA","MA","08/2015","0"
"210005","AÇAILÂNDIA","MA","09/2015","0"
"210005","AÇAILÂNDIA","MA","02/2015","0"
"210005","AÇAILÂNDIA","MA","03/2015","0"
"210005","AÇAILÂNDIA","MA","10/2015","0"
"210005","AÇAILÂNDIA","MA","01/2015","0"
"210005","AÇAILÂNDIA","MA","04/2015","0"
"210005","AÇAILÂNDIA","MA","12/2015","0"
"210005","AÇAILÂNDIA","MA","05/2015","0"
"210005","AÇAILÂNDIA","MA","06/2015","0"
"210005","AÇAILÂNDIA","MA","11/2016","0"
"210005","AÇAILÂNDIA","MA","08/2016","0"
"210005","AÇAILÂNDIA","MA","12/2016","0"
"210005","AÇAILÂNDIA","MA","01/2016","0"
"210005","AÇAILÂNDIA","MA","04/2016","0"
"210005","AÇAILÂNDIA","MA","09/2016","0"
"210005","AÇAILÂNDIA","MA","07/2016","0"
"210005","AÇAILÂNDIA","MA","05/2016","0"
"210005","AÇAILÂNDIA","MA","06/2016","0"
"210005","AÇAILÂNDIA","MA","10/2016","0"
"210005","AÇAILÂNDIA","MA","02/2016","0"
"210005","AÇAILÂNDIA","MA","03/2016","0"
"210005","AÇAILÂNDIA","MA","04/2017","0"
"210005","AÇAILÂNDIA","MA","09/2017","0"
"210005","AÇAILÂNDIA","MA","05/2017","0"
"210005","AÇAILÂNDIA","MA","01/2017","0"
"210005","AÇAILÂNDIA","MA","06/2017","0"
"210005","AÇAILÂNDIA","MA","11/2017","0"
"210005","AÇAILÂNDIA","MA","10/2017","0"
"210005","AÇAILÂNDIA","MA","08/2017","0"
"210005","AÇAILÂNDIA","MA","12/2017","0"
"210005","AÇAILÂNDIA","MA","02/2017","0"
"210005","AÇAILÂNDIA","MA","03/2017","0"
"210005","AÇAILÂNDIA","MA","07/2017","0"
"210005","AÇAILÂNDIA","MA","03/2018","0"
"210005","AÇAILÂNDIA","MA","07/2018","1"
"210005","AÇAILÂNDIA","MA","01/2018","0"
"210005","AÇAILÂNDIA","MA","04/2018","0"
"210005","AÇAILÂNDIA","MA","08/2018","1"
"210005","AÇAILÂNDIA","MA","02/2018","0"
"210005","AÇAILÂNDIA","MA","11/2018","4"
"210005","AÇAILÂNDIA","MA","12/2018","5"
"210005","AÇAILÂNDIA","MA","05/2018","1"
"210005","AÇAILÂNDIA","MA","06/2018","1"
"210005","AÇAILÂNDIA","MA","09/2018","2"
"210005","AÇAILÂNDIA","MA","10/2018","4"
"210005","AÇAILÂNDIA","MA","05/2019","8"
"210005","AÇAILÂNDIA","MA","01/2019","5"
"210005","AÇAILÂNDIA","MA","09/2019","9"
"210005","AÇAILÂNDIA","MA","03/2025","42"
"210005","AÇAILÂNDIA","MA","10/2019","10"
"210005","AÇAILÂNDIA","MA","11/2019","10"
"210005","AÇAILÂNDIA","MA","06/2019","8"
"210005","AÇAILÂNDIA","MA","02/2019","5"
"210005","AÇAILÂNDIA","MA","12/2019","10"
"210005","AÇAILÂNDIA","MA","07/2019","8"
"210005","AÇAILÂNDIA","MA","03/2019","7"
"210005","AÇAILÂNDIA","MA","08/2019","9"
"210005","AÇAILÂNDIA","MA","04/2019","8"
"210005","AÇAILÂNDIA","MA","10/2020","10"
"210005","AÇAILÂNDIA","MA","12/2020","10"
"210005","AÇAILÂNDIA","MA","02/2020","10"
"210005","AÇAILÂNDIA","MA","03/2020","10"
"210005","AÇAILÂNDIA","MA","01/2020","10"
"210005","AÇAILÂNDIA","MA","06/2020","10"
"210005","AÇAILÂNDIA","MA","05/2020","10"
"210005","AÇAILÂNDIA","MA","09/2020","10"
"210005","AÇAILÂNDIA","MA","11/2020","10"
"210005","AÇAILÂNDIA","MA","04/2020","10"
"210005","AÇAILÂNDIA","MA","07/2020","10"
"210005","AÇAILÂNDIA","MA","08/2020","10"
"210005","AÇAILÂNDIA","MA","06/2021","10"
"210005","AÇAILÂNDIA","MA","07/2021","10"
"210005","AÇAILÂNDIA","MA","08/2021","10"
"210005","AÇAILÂNDIA","MA","11/2021","10"
"210005","AÇAILÂNDIA","MA","12/2021","12"
"210005","AÇAILÂNDIA","MA","03/2021","12"
"210005","AÇAILÂNDIA","MA","04/2021","13"
"210005","AÇAILÂNDIA","MA","02/2021","11"
"210005","AÇAILÂNDIA","MA","01/2021","10"
"210005","AÇAILÂNDIA","MA","09/2021","11"
"210005","AÇAILÂNDIA","MA","10/2021","11"
"210005","AÇAILÂNDIA","MA","05/2021","10"
"210005","AÇAILÂNDIA","MA","07/2022","25"
"210005","AÇAILÂNDIA","MA","03/2022","20"
"210005","AÇAILÂNDIA","MA","08/2022","19"
"210005","AÇAILÂNDIA","MA","11/2022","22"
"210005","AÇAILÂNDIA","MA","12/2022","22"
"210005","AÇAILÂNDIA","MA","01/2022","12"
"210005","AÇAILÂNDIA","MA","02/2022","17"
"210005","AÇAILÂNDIA","MA","09/2022","22"
"210005","AÇAILÂNDIA","MA","04/2022","21"
"210005","AÇAILÂNDIA","MA","10/2022","22"
"210005","AÇAILÂNDIA","MA","05/2022","24"
"210005","AÇAILÂNDIA","MA","06/2022","24"
"210005","AÇAILÂNDIA","MA","03/2023","25"
"210005","AÇAILÂNDIA","MA","04/2023","25"
"210005","AÇAILÂNDIA","MA","06/2023","28"
"210005","AÇAILÂNDIA","MA","01/2023","23"
"210005","AÇAILÂNDIA","MA","05/2023","26"
"210005","AÇAILÂNDIA","MA","08/2023","28"
"210005","AÇAILÂNDIA","MA","02/2023","24"
"210005","AÇAILÂNDIA","MA","09/2023","29"
"210005","AÇAILÂNDIA","MA","10/2023","28"
"210005","AÇAILÂNDIA","MA","11/2023","30"
"210005","AÇAILÂNDIA","MA","12/2023","32"
"210005","AÇAILÂNDIA","MA","07/2023","28"
"210005","AÇAILÂNDIA","MA","02/2024","32"
"210005","AÇAILÂNDIA","MA","03/2024","32"
"210005","AÇAILÂNDIA","MA","04/2024","33"
"210005","AÇAILÂNDIA","MA","06/2024","35"
"210005","AÇAILÂNDIA","MA","07/2024","36"
"210005","AÇAILÂNDIA","MA","08/2024","34"
"210005","AÇAILÂNDIA","MA","09/2024","35"
"210005","AÇAILÂNDIA","MA","01/2024","32"
"210005","AÇAILÂNDIA","MA","05/2024","33"
"210005","AÇAILÂNDIA","MA","10/2024","38"
"210005","AÇAILÂNDIA","MA","11/2024","39"
"210005","AÇAILÂNDIA","MA","12/2024","38"
"210005","AÇAILÂNDIA","MA","09/2025","50"
"210005","AÇAILÂNDIA","MA","12/2025","64"
"210005","AÇAILÂNDIA","MA","05/2025","43"
"210005","AÇAILÂNDIA","MA","10/2025","57"
"210005","AÇAILÂNDIA","MA","11/2025","62"
"210005","AÇAILÂNDIA","MA","06/2025","46"
"210005","AÇAILÂNDIA","MA","08/2025","45"
"210005","AÇAILÂNDIA","MA","07/2025","47"
"210005","AÇAILÂNDIA","MA","02/2025","39"
"210005","AÇAILÂNDIA","MA","01/2025","38"
"210010","AFONSO CUNHA","MA","08/2025","0"
"210010","AFONSO CUNHA","MA","01/2025","0"
"210010","AFONSO CUNHA","MA","02/2025","0"
"210010","AFONSO CUNHA","MA","07/2025","0"
"210010","AFONSO CUNHA","MA","05/2025","0"
"210010","AFONSO CUNHA","MA","06/2025","0"
"210010","AFONSO CUNHA","MA","11/2025","0"
"210010","AFONSO CUNHA","MA","10/2025","0"
"210010","AFONSO CUNHA","MA","12/2025","0"
"210010","AFONSO CUNHA","MA","09/2025","0"
"210010","AFONSO CUNHA","MA","02/2024","0"
"210010","AFONSO CUNHA","MA","12/2024","0"
"210010","AFONSO CUNHA","MA","11/2024","0"
"210010","AFONSO CUNHA","MA","10/2024","0"
"210010","AFONSO CUNHA","MA","05/2024","0"
"210010","AFONSO CUNHA","MA","09/2024","0"
"210010","AFONSO CUNHA","MA","08/2024","0"
"210010","AFONSO CUNHA","MA","07/2024","0"
"210010","AFONSO CUNHA","MA","06/2024","0"
"210010","AFONSO CUNHA","MA","04/2024","0"
"210010","AFONSO CUNHA","MA","01/2024","0"
"210010","AFONSO CUNHA","MA","03/2024","0"
"210010","AFONSO CUNHA","MA","05/2023","0"
"210010","AFONSO CUNHA","MA","12/2023","0"
"210010","AFONSO CUNHA","MA","11/2023","0"
