"Código","Unidade Territorial","UF","Referência","Número de pessoas com deficiência cadastradas no Cadastro Único"
"210005","AÇAILÂNDIA","MA","08/2012","912"
"210005","AÇAILÂNDIA","MA","09/2012","1008"
"210005","AÇAILÂNDIA","MA","10/2012","1037"
"210005","AÇAILÂNDIA","MA","11/2012","1043"
"210005","AÇAILÂNDIA","MA","12/2012","1053"
"210005","AÇAILÂNDIA","MA","11/2013","1284"
"210005","AÇAILÂNDIA","MA","10/2013","1261"
"210005","AÇAILÂNDIA","MA","12/2013","1294"
"210005","AÇAILÂNDIA","MA","08/2013","1214"
"210005","AÇAILÂNDIA","MA","09/2013","1235"
"210005","AÇAILÂNDIA","MA","07/2013","1202"
"210005","AÇAILÂNDIA","MA","06/2013","1179"
"210005","AÇAILÂNDIA","MA","05/2013","1157"
"210005","AÇAILÂNDIA","MA","04/2013","1142"
"210005","AÇAILÂNDIA","MA","03/2013","1114"
"210005","AÇAILÂNDIA","MA","02/2013","1101"
"210005","AÇAILÂNDIA","MA","01/2013","1067"
"210005","AÇAILÂNDIA","MA","11/2014","1506"
"210005","AÇAILÂNDIA","MA","10/2014","1489"
"210005","AÇAILÂNDIA","MA","12/2014","1508"
"210005","AÇAILÂNDIA","MA","09/2014","1451"
"210005","AÇAILÂNDIA","MA","07/2014","1372"
"210005","AÇAILÂNDIA","MA","02/2014","1307"
"210005","AÇAILÂNDIA","MA","03/2014","1321"
"210005","AÇAILÂNDIA","MA","06/2014","1363"
"210005","AÇAILÂNDIA","MA","05/2014","1345"
"210005","AÇAILÂNDIA","MA","04/2014","1329"
"210005","AÇAILÂNDIA","MA","01/2014","1299"
"210005","AÇAILÂNDIA","MA","11/2015","1605"
"210005","AÇAILÂNDIA","MA","07/2015","1572"
"210005","AÇAILÂNDIA","MA","08/2015","1590"
"210005","AÇAILÂNDIA","MA","09/2015","1591"
"210005","AÇAILÂNDIA","MA","02/2015","1523"
"210005","AÇAILÂNDIA","MA","03/2015","1524"
"210005","AÇAILÂNDIA","MA","10/2015","1608"
"210005","AÇAILÂNDIA","MA","01/2015","1513"
"210005","AÇAILÂNDIA","MA","04/2015","1539"
"210005","AÇAILÂNDIA","MA","12/2015","1608"
"210005","AÇAILÂNDIA","MA","05/2015","1550"
"210005","AÇAILÂNDIA","MA","06/2015","1556"
"210005","AÇAILÂNDIA","MA","11/2016","1754"
"210005","AÇAILÂNDIA","MA","08/2016","1691"
"210005","AÇAILÂNDIA","MA","12/2016","1629"
"210005","AÇAILÂNDIA","MA","01/2016","1597"
"210005","AÇAILÂNDIA","MA","04/2016","1638"
"210005","AÇAILÂNDIA","MA","09/2016","1720"
"210005","AÇAILÂNDIA","MA","07/2016","1675"
"210005","AÇAILÂNDIA","MA","05/2016","1647"
