"Código","Unidade Territorial","UF","Referência","Quantidade de pessoas do sexo masculino inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino inscritas no Cadastro Único"
"210005","AÇAILÂNDIA","MA","08/2012","29236","36574"
"210005","AÇAILÂNDIA","MA","09/2012","29727","37212"
"210005","AÇAILÂNDIA","MA","10/2012","29993","37655"
"210005","AÇAILÂNDIA","MA","11/2012","30000","37718"
"210005","AÇAILÂNDIA","MA","12/2012","30105","37845"
"210005","AÇAILÂNDIA","MA","11/2013","31368","39320"
"210005","AÇAILÂNDIA","MA","10/2013","31190","39142"
"210005","AÇAILÂNDIA","MA","12/2013","31419","39420"
"210005","AÇAILÂNDIA","MA","08/2013","30608","38391"
"210005","AÇAILÂNDIA","MA","09/2013","30846","38710"
"210005","AÇAILÂNDIA","MA","07/2013","30431","38149"
"210005","AÇAILÂNDIA","MA","06/2013","30308","38050"
"210005","AÇAILÂNDIA","MA","05/2013","30299","38065"
"210005","AÇAILÂNDIA","MA","04/2013","30260","37909"
"210005","AÇAILÂNDIA","MA","03/2013","30229","37841"
"210005","AÇAILÂNDIA","MA","02/2013","30243","37970"
"210005","AÇAILÂNDIA","MA","01/2013","30176","37911"
"210005","AÇAILÂNDIA","MA","11/2014","32918","40945"
"210005","AÇAILÂNDIA","MA","10/2014","32606","40620"
"210005","AÇAILÂNDIA","MA","12/2014","32998","41070"
"210005","AÇAILÂNDIA","MA","09/2014","32167","40183"
"210005","AÇAILÂNDIA","MA","08/2014","31831","39860"
"210005","AÇAILÂNDIA","MA","07/2014","31751","39720"
"210005","AÇAILÂNDIA","MA","02/2014","31465","39428"
"210005","AÇAILÂNDIA","MA","03/2014","31579","39535"
"210005","AÇAILÂNDIA","MA","06/2014","31705","39655"
"210005","AÇAILÂNDIA","MA","05/2014","31711","39675"
"210005","AÇAILÂNDIA","MA","04/2014","31649","39632"
"210005","AÇAILÂNDIA","MA","01/2014","31456","39457"
"210005","AÇAILÂNDIA","MA","11/2015","29786","37596"
"210005","AÇAILÂNDIA","MA","07/2015","29534","37325"
"210005","AÇAILÂNDIA","MA","08/2015","29659","37423"
"210005","AÇAILÂNDIA","MA","09/2015","29702","37470"
"210005","AÇAILÂNDIA","MA","02/2015","30606","38390"
"210005","AÇAILÂNDIA","MA","03/2015","30672","38538"
"210005","AÇAILÂNDIA","MA","10/2015","29760","37525"
"210005","AÇAILÂNDIA","MA","01/2015","30498","38232"
"210005","AÇAILÂNDIA","MA","04/2015","30721","38636"
"210005","AÇAILÂNDIA","MA","12/2015","29864","37666"
"210005","AÇAILÂNDIA","MA","05/2015","30789","38743"
"210005","AÇAILÂNDIA","MA","06/2015","30813","38780"
"210005","AÇAILÂNDIA","MA","11/2016","30086","38155"
"210005","AÇAILÂNDIA","MA","08/2016","29795","37852"
"210005","AÇAILÂNDIA","MA","12/2016","28421","36360"
"210005","AÇAILÂNDIA","MA","01/2016","29279","37094"
"210005","AÇAILÂNDIA","MA","04/2016","29664","37474"
"210005","AÇAILÂNDIA","MA","09/2016","29943","37993"
"210005","AÇAILÂNDIA","MA","07/2016","29785","37742"
"210005","AÇAILÂNDIA","MA","05/2016","29720","37560"
"210005","AÇAILÂNDIA","MA","06/2016","29715","37619"
"210005","AÇAILÂNDIA","MA","10/2016","30037","38072"
"210005","AÇAILÂNDIA","MA","02/2016","29383","37171"
"210005","AÇAILÂNDIA","MA","03/2016","29501","37312"
"210005","AÇAILÂNDIA","MA","04/2017","28595","36599"
"210005","AÇAILÂNDIA","MA","09/2017","26105","33851"
"210005","AÇAILÂNDIA","MA","05/2017","28685","36688"
"210005","AÇAILÂNDIA","MA","01/2017","28450","36404"
"210005","AÇAILÂNDIA","MA","06/2017","28728","36747"
"210005","AÇAILÂNDIA","MA","11/2017","26433","34124"
"210005","AÇAILÂNDIA","MA","10/2017","26303","34040"
"210005","AÇAILÂNDIA","MA","08/2017","29001","37056"
"210005","AÇAILÂNDIA","MA","12/2017","26582","34288"
