"Código","Unidade Territorial","UF","Referência","Famílias Beneficiárias do Auxílio Gás","Valor Total Repassado às famílias beneficiárias do Auxílio Gás","Valor Médio do Benefício Auxílio Gás","Pessoas beneficiárias do Auxílio Gás","Responsáveis Familiares do sexo Feminino beneficiárias do Auxílio Gás","Percentual de Responsáveis Familiares do sexo Feminino"
"210005","AÇAILÂNDIA","MA","12/2021","426","22152","52,00","1014","300","70,4"
"210005","AÇAILÂNDIA","MA","02/2022","443","22150","50,00","1039","305","68,8"
"210005","AÇAILÂNDIA","MA","04/2022","427","21777","51,00","1066","314","73,5"
"210005","AÇAILÂNDIA","MA","06/2022","526","27878","53,00","1430","406","77,2"
"210005","AÇAILÂNDIA","MA","08/2022","553","60830","110,00","1522","434","78,5"
"210005","AÇAILÂNDIA","MA","10/2022","656","73472","112,00","1868","533","81,3"
"210005","AÇAILÂNDIA","MA","12/2022","701","78512","112,00","2046","580","82,7"
"210005","AÇAILÂNDIA","MA","02/2023","732","81984","112,00","2166","610","83,3"
"210005","AÇAILÂNDIA","MA","04/2023","712","78320","110,00","2116","596","83,7"
"210005","AÇAILÂNDIA","MA","06/2023","711","77499","109,00","2152","607","85,4"
"210005","AÇAILÂNDIA","MA","08/2023","806","87048,00","108,00","2592","707","87,7"
"210005","AÇAILÂNDIA","MA","10/2023","822","87132","106,00","2681","726","88,3"
"210005","AÇAILÂNDIA","MA","12/2023","805","83720","104,00","2658","718","89,2"
"210005","AÇAILÂNDIA","MA","02/2024","928","94656,00","102,00","3098","839","90,4"
"210005","AÇAILÂNDIA","MA","04/2024","1022","104244","102,00","3382","924","90,4"
"210005","AÇAILÂNDIA","MA","06/2024","1046","106692","102,00","3461","950","90,8"
"210005","AÇAILÂNDIA","MA","08/2024","1006","102612","102,00","3375","933","92,7"
"210005","AÇAILÂNDIA","MA","10/2024","990","102960","104,00","3354","919","92,8"
"210005","AÇAILÂNDIA","MA","12/2024","992","103168","104,00","3354","919","92,6"
"210005","AÇAILÂNDIA","MA","02/2025","987","104622","106,00","3344","918","93,0"
"210005","AÇAILÂNDIA","MA","04/2025","986","106488","108,00","3341","916","92,9"
"210005","AÇAILÂNDIA","MA","06/2025","986","106488","108,00","3341","916","92,9"
"210005","AÇAILÂNDIA","MA","08/2025","947","102276","108,00","3226","887","93,7"
"210005","AÇAILÂNDIA","MA","10/2025","930","100440","108,00","3166","876","94,2"
"210010","AFONSO CUNHA","MA","12/2021","335","17420","52,00","1327","314","93,7"
"210010","AFONSO CUNHA","MA","02/2022","335","16750","50,00","1327","314","93,7"
"210010","AFONSO CUNHA","MA","04/2022","334","17034","51,00","1307","314","94,0"
"210010","AFONSO CUNHA","MA","06/2022","335","17755","53,00","1283","314","93,7"
"210010","AFONSO CUNHA","MA","08/2022","336","36960","110,00","1275","314","93,5"
"210010","AFONSO CUNHA","MA","10/2022","337","37744","112,00","1254","314","93,2"
"210010","AFONSO CUNHA","MA","12/2022","333","37296","112,00","1223","310","93,1"
"210010","AFONSO CUNHA","MA","02/2023","335","37520","112,00","1232","312","93,1"
"210010","AFONSO CUNHA","MA","04/2023","331","36410","110,00","1212","310","93,7"
"210010","AFONSO CUNHA","MA","06/2023","328","35752","109,00","1207","309","94,2"
"210010","AFONSO CUNHA","MA","08/2023","330","35640,00","108,00","1228","311","94,2"
"210010","AFONSO CUNHA","MA","10/2023","333","35298","106,00","1229","313","94,0"
"210010","AFONSO CUNHA","MA","12/2023","333","34632","104,00","1229","314","94,3"
"210010","AFONSO CUNHA","MA","02/2024","340","34680,00","102,00","1249","319","93,8"
"210010","AFONSO CUNHA","MA","04/2024","338","34476","102,00","1223","317","93,8"
"210010","AFONSO CUNHA","MA","06/2024","339","34578","102,00","1217","318","93,8"
"210010","AFONSO CUNHA","MA","08/2024","336","34272","102,00","1210","314","93,5"
"210010","AFONSO CUNHA","MA","10/2024","332","34528","104,00","1193","311","93,7"
"210010","AFONSO CUNHA","MA","12/2024","330","34320","104,00","1193","311","94,2"
"210010","AFONSO CUNHA","MA","02/2025","330","34980","106,00","1182","309","93,6"
"210010","AFONSO CUNHA","MA","04/2025","329","35532","108,00","1176","308","93,6"
"210010","AFONSO CUNHA","MA","06/2025","329","35532","108,00","1176","308","93,6"
"210010","AFONSO CUNHA","MA","08/2025","332","35856","108,00","1187","312","94,0"
"210010","AFONSO CUNHA","MA","10/2025","332","35856","108,00","1184","311","93,7"
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2021","711","36972","52,00","2631","673","94,7"
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2022","710","35500","50,00","2624","673","94,8"
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2022","694","35394","51,00","2559","656","94,5"
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2022","692","36676","53,00","2541","654","94,5"
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2022","685","75350","110,00","2520","648","94,6"
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2022","685","76720","112,00","2486","648","94,6"
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2022","679","76048","112,00","2438","643","94,7"
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2023","678","75936","112,00","2428","642","94,7"
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2023","667","73370","110,00","2356","632","94,8"
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2023","659","71831","109,00","2310","624","94,7"
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2023","648","69984,00","108,00","2260","613","94,6"
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2023","641","67946","106,00","2216","607","94,7"
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2023","628","65312","104,00","2181","597","95,1"
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2024","624","63648,00","102,00","2162","594","95,2"
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2024","617","62934","102,00","2130","589","95,5"
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2024","608","62016","102,00","2082","577","94,9"
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2024","595","60690","102,00","2033","564","94,8"
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2024","579","60216","104,00","1988","551","95,2"
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2024","575","59800","104,00","1988","551","95,8"
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2025","568","60208","106,00","1944","541","95,2"
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2025","566","61128","108,00","1929","538","95,1"
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2025","566","61128","108,00","1929","538","95,1"
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2025","554","59832","108,00","1870","527","95,1"
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2025","536","57888","108,00","1808","510","95,1"
"210020","ALCÂNTARA","MA","12/2021","4833","251316","52,00","13172","3558","73,6"
"210020","ALCÂNTARA","MA","02/2022","4814","240700","50,00","13133","3552","73,8"
