"Código","Unidade Territorial","UF","Referência","Quantidade total de famílias inscritas no Cadastro Único"
"210005","AÇAILÂNDIA","MA","08/2012","18788"
"210005","AÇAILÂNDIA","MA","09/2012","19305"
"210005","AÇAILÂNDIA","MA","10/2012","19620"
"210005","AÇAILÂNDIA","MA","11/2012","19667"
"210005","AÇAILÂNDIA","MA","12/2012","19782"
"210005","AÇAILÂNDIA","MA","11/2013","21411"
"210005","AÇAILÂNDIA","MA","10/2013","21209"
"210005","AÇAILÂNDIA","MA","12/2013","21496"
"210005","AÇAILÂNDIA","MA","08/2013","20522"
"210005","AÇAILÂNDIA","MA","09/2013","20836"
"210005","AÇAILÂNDIA","MA","07/2013","20308"
"210005","AÇAILÂNDIA","MA","06/2013","20165"
"210005","AÇAILÂNDIA","MA","05/2013","20125"
"210005","AÇAILÂNDIA","MA","04/2013","20018"
"210005","AÇAILÂNDIA","MA","03/2013","19918"
"210005","AÇAILÂNDIA","MA","02/2013","19915"
"210005","AÇAILÂNDIA","MA","01/2013","19843"
"210005","AÇAILÂNDIA","MA","11/2014","23356"
"210005","AÇAILÂNDIA","MA","10/2014","22978"
"210005","AÇAILÂNDIA","MA","12/2014","23510"
"210005","AÇAILÂNDIA","MA","09/2014","22507"
"210005","AÇAILÂNDIA","MA","08/2014","22102"
"210005","AÇAILÂNDIA","MA","07/2014","21975"
"210005","AÇAILÂNDIA","MA","02/2014","21572"
"210005","AÇAILÂNDIA","MA","03/2014","21682"
"210005","AÇAILÂNDIA","MA","06/2014","21904"
"210005","AÇAILÂNDIA","MA","05/2014","21851"
"210005","AÇAILÂNDIA","MA","04/2014","21762"
"210005","AÇAILÂNDIA","MA","01/2014","21538"
"210005","AÇAILÂNDIA","MA","11/2015","21740"
"210005","AÇAILÂNDIA","MA","07/2015","21464"
"210005","AÇAILÂNDIA","MA","08/2015","21558"
"210005","AÇAILÂNDIA","MA","09/2015","21619"
"210005","AÇAILÂNDIA","MA","02/2015","21980"
"210005","AÇAILÂNDIA","MA","03/2015","22078"
"210005","AÇAILÂNDIA","MA","10/2015","21681"
"210005","AÇAILÂNDIA","MA","01/2015","21831"
"210005","AÇAILÂNDIA","MA","04/2015","22150"
"210005","AÇAILÂNDIA","MA","12/2015","21816"
"210005","AÇAILÂNDIA","MA","05/2015","22234"
"210005","AÇAILÂNDIA","MA","06/2015","22284"
"210005","AÇAILÂNDIA","MA","11/2016","22176"
"210005","AÇAILÂNDIA","MA","08/2016","21867"
"210005","AÇAILÂNDIA","MA","12/2016","20930"
"210005","AÇAILÂNDIA","MA","01/2016","21198"
"210005","AÇAILÂNDIA","MA","04/2016","21562"
"210005","AÇAILÂNDIA","MA","09/2016","22005"
"210005","AÇAILÂNDIA","MA","07/2016","21776"
"210005","AÇAILÂNDIA","MA","05/2016","21612"
"210005","AÇAILÂNDIA","MA","06/2016","21659"
"210005","AÇAILÂNDIA","MA","10/2016","22097"
"210005","AÇAILÂNDIA","MA","02/2016","21280"
"210005","AÇAILÂNDIA","MA","03/2016","21416"
"210005","AÇAILÂNDIA","MA","04/2017","21249"
