"Tabela 4714 - População Residente, Área territorial e Densidade demográfica"
"Variável - Área da unidade territorial (Quilômetros quadrados)"
"Cód.";"Brasil e Município";"Ano"
"Cód.";"Brasil e Município";"2022"
"1";"Brasil";"8510417,771"
"2100055";"Açailândia (MA)";"5805,159"
"2100105";"Afonso Cunha (MA)";"371,338"
"2100154";"Água Doce do Maranhão (MA)";"442,292"
"2100204";"Alcântara (MA)";"1167,964"
"2100303";"Aldeias Altas (MA)";"1942,121"
"2100402";"Altamira do Maranhão (MA)";"524,374"
"2100436";"Alto Alegre do Maranhão (MA)";"392,750"
"2100477";"Alto Alegre do Pindaré (MA)";"1875,901"
"2100501";"Alto Parnaíba (MA)";"11127,384"
"2100550";"Amapá do Maranhão (MA)";"502,402"
"2100600";"Amarante do Maranhão (MA)";"7439,615"
"2100709";"Anajatuba (MA)";"940,489"
"2100808";"Anapurus (MA)";"608,903"
"2100832";"Apicum-Açu (MA)";"341,120"
"2100873";"Araguanã (MA)";"805,194"
"2100907";"Araioses (MA)";"1789,730"
"2100956";"Arame (MA)";"2976,039"
"2101004";"Arari (MA)";"1100,275"
"2101103";"Axixá (MA)";"160,462"
"2101202";"Bacabal (MA)";"1656,736"
"2101251";"Bacabeira (MA)";"542,962"
"2101301";"Bacuri (MA)";"850,491"
"2101350";"Bacurituba (MA)";"413,651"
"2101400";"Balsas (MA)";"13141,162"
"2101509";"Barão de Grajaú (MA)";"2209,414"
"2101608";"Barra do Corda (MA)";"5187,673"
"2101707";"Barreirinhas (MA)";"3046,308"
"2101731";"Belágua (MA)";"569,606"
"2101772";"Bela Vista do Maranhão (MA)";"147,954"
"2101806";"Benedito Leite (MA)";"1784,640"
"2101905";"Bequimão (MA)";"790,222"
"2101939";"Bernardo do Mearim (MA)";"247,186"
"2101970";"Boa Vista do Gurupi (MA)";"400,350"
"2102002";"Bom Jardim (MA)";"6588,380"
"2102036";"Bom Jesus das Selvas (MA)";"2676,980"
"2102077";"Bom Lugar (MA)";"445,171"
"2102101";"Brejo (MA)";"1073,258"
"2102150";"Brejo de Areia (MA)";"986,036"
"2102200";"Buriti (MA)";"1475,779"
"2102309";"Buriti Bravo (MA)";"1582,552"
"2102325";"Buriticupu (MA)";"2544,857"
"2102358";"Buritirana (MA)";"820,968"
"2102374";"Cachoeira Grande (MA)";"707,236"
"2102408";"Cajapió (MA)";"545,244"
"2102507";"Cajari (MA)";"662,066"
"2102556";"Campestre do Maranhão (MA)";"613,529"
"2102606";"Cândido Mendes (MA)";"1634,861"
"2102705";"Cantanhede (MA)";"773,010"
"2102754";"Capinzal do Norte (MA)";"590,267"
"2102804";"Carolina (MA)";"6267,675"
"2102903";"Carutapera (MA)";"1260,977"
"2103000";"Caxias (MA)";"5201,927"
"2103109";"Cedral (MA)";"285,211"
"2103125";"Central do Maranhão (MA)";"319,538"
"2103158";"Centro do Guilherme (MA)";"1167,848"
"2103174";"Centro Novo do Maranhão (MA)";"8401,003"
"2103208";"Chapadinha (MA)";"3247,385"
"2103257";"Cidelândia (MA)";"1462,809"
"2103307";"Codó (MA)";"4361,606"
"2103406";"Coelho Neto (MA)";"977,079"
"2103505";"Colinas (MA)";"1978,695"
