"Tabela 4714 - População Residente, Área territorial e Densidade demográfica"
"Variável - Densidade demográfica (Habitante por quilômetro quadrado)"
"Cód.";"Brasil e Município";"Ano"
"Cód.";"Brasil e Município";"2022"
"1";"Brasil";"23,86"
"2100055";"Açailândia (MA)";"18,35"
"2100105";"Afonso Cunha (MA)";"16,55"
"2100154";"Água Doce do Maranhão (MA)";"27,45"
"2100204";"Alcântara (MA)";"15,81"
"2100303";"Aldeias Altas (MA)";"11,99"
"2100402";"Altamira do Maranhão (MA)";"12,29"
"2100436";"Alto Alegre do Maranhão (MA)";"61,23"
"2100477";"Alto Alegre do Pindaré (MA)";"13,71"
"2100501";"Alto Parnaíba (MA)";"1,00"
"2100550";"Amapá do Maranhão (MA)";"14,27"
"2100600";"Amarante do Maranhão (MA)";"4,98"
"2100709";"Anajatuba (MA)";"26,92"
"2100808";"Anapurus (MA)";"22,65"
"2100832";"Apicum-Açu (MA)";"51,36"
"2100873";"Araguanã (MA)";"13,89"
"2100907";"Araioses (MA)";"21,82"
"2100956";"Arame (MA)";"8,57"
"2101004";"Arari (MA)";"26,79"
"2101103";"Axixá (MA)";"73,48"
"2101202";"Bacabal (MA)";"62,60"
"2101251";"Bacabeira (MA)";"31,25"
"2101301";"Bacuri (MA)";"19,15"
"2101350";"Bacurituba (MA)";"12,70"
"2101400";"Balsas (MA)";"7,74"
"2101509";"Barão de Grajaú (MA)";"8,59"
"2101608";"Barra do Corda (MA)";"16,29"
"2101707";"Barreirinhas (MA)";"21,53"
"2101731";"Belágua (MA)";"14,85"
"2101772";"Bela Vista do Maranhão (MA)";"79,42"
"2101806";"Benedito Leite (MA)";"3,06"
"2101905";"Bequimão (MA)";"24,78"
"2101939";"Bernardo do Mearim (MA)";"23,63"
"2101970";"Boa Vista do Gurupi (MA)";"18,92"
"2102002";"Bom Jardim (MA)";"5,02"
"2102036";"Bom Jesus das Selvas (MA)";"10,68"
"2102077";"Bom Lugar (MA)";"27,43"
"2102101";"Brejo (MA)";"31,79"
"2102150";"Brejo de Areia (MA)";"9,35"
"2102200";"Buriti (MA)";"20,11"
"2102309";"Buriti Bravo (MA)";"14,19"
"2102325";"Buriticupu (MA)";"21,81"
"2102358";"Buritirana (MA)";"15,74"
"2102374";"Cachoeira Grande (MA)";"13,76"
"2102408";"Cajapió (MA)";"18,56"
"2102507";"Cajari (MA)";"24,79"
"2102556";"Campestre do Maranhão (MA)";"20,05"
"2102606";"Cândido Mendes (MA)";"12,19"
"2102705";"Cantanhede (MA)";"31,44"
"2102754";"Capinzal do Norte (MA)";"19,27"
"2102804";"Carolina (MA)";"3,84"
"2102903";"Carutapera (MA)";"19,22"
"2103000";"Caxias (MA)";"30,18"
"2103109";"Cedral (MA)";"35,79"
"2103125";"Central do Maranhão (MA)";"22,20"
"2103158";"Centro do Guilherme (MA)";"10,57"
"2103174";"Centro Novo do Maranhão (MA)";"1,94"
"2103208";"Chapadinha (MA)";"25,06"
"2103257";"Cidelândia (MA)";"8,80"
"2103307";"Codó (MA)";"26,20"
"2103406";"Coelho Neto (MA)";"42,64"
"2103505";"Colinas (MA)";"20,38"
"2103554";"Conceição do Lago-Açu (MA)";"20,55"
"2103604";"Coroatá (MA)";"26,31"
"2103703";"Cururupu (MA)";"25,09"
"2103752";"Davinópolis (MA)";"43,35"
"2103802";"Dom Pedro (MA)";"64,31"
"2103901";"Duque Bacelar (MA)";"32,20"
"2104008";"Esperantinópolis (MA)";"40,47"
"2104057";"Estreito (MA)";"12,24"
"2104073";"Feira Nova do Maranhão (MA)";"4,95"
"2104081";"Fernando Falcão (MA)";"2,14"
"2104099";"Formosa da Serra Negra (MA)";"4,80"
"2104107";"Fortaleza dos Nogueiras (MA)";"6,82"
"2104206";"Fortuna (MA)";"20,33"
"2104305";"Godofredo Viana (MA)";"14,14"
"2104404";"Gonçalves Dias (MA)";"19,47"
"2104503";"Governador Archer (MA)";"22,95"
"2104552";"Governador Edison Lobão (MA)";"29,89"
"2104602";"Governador Eugênio Barros (MA)";"21,50"
"2104628";"Governador Luiz Rocha (MA)";"17,59"
"2104651";"Governador Newton Bello (MA)";"9,36"
"2104677";"Governador Nunes Freire (MA)";"22,30"
"2104701";"Graça Aranha (MA)";"22,19"
"2104800";"Grajaú (MA)";"8,34"
"2104909";"Guimarães (MA)";"21,49"
"2105005";"Humberto de Campos (MA)";"14,98"
"2105104";"Icatu (MA)";"22,05"
"2105153";"Igarapé do Meio (MA)";"37,90"
"2105203";"Igarapé Grande (MA)";"29,55"
"2105302";"Imperatriz (MA)";"199,49"
"2105351";"Itaipava do Grajaú (MA)";"11,11"
"2105401";"Itapecuru Mirim (MA)";"40,82"
"2105427";"Itinga do Maranhão (MA)";"6,28"
"2105450";"Jatobá (MA)";"12,63"
"2105476";"Jenipapo dos Vieiras (MA)";"8,70"
"2105500";"João Lisboa (MA)";"21,73"
"2105609";"Joselândia (MA)";"21,23"
"2105658";"Junco do Maranhão (MA)";"9,05"
"2105708";"Lago da Pedra (MA)";"35,80"
"2105807";"Lago do Junco (MA)";"28,94"
"2105906";"Lago Verde (MA)";"23,39"
"2105922";"Lagoa do Mato (MA)";"6,99"
"2105948";"Lago dos Rodrigues (MA)";"39,67"
"2105963";"Lagoa Grande do Maranhão (MA)";"15,33"
"2105989";"Lajeado Novo (MA)";"6,63"
"2106003";"Lima Campos (MA)";"35,09"
"2106102";"Loreto (MA)";"3,22"
"2106201";"Luís Domingues (MA)";"15,16"
"2106300";"Magalhães de Almeida (MA)";"31,78"
"2106326";"Maracaçumé (MA)";"33,27"
"2106359";"Marajá do Sena (MA)";"5,01"
"2106375";"Maranhãozinho (MA)";"18,08"
"2106409";"Mata Roma (MA)";"31,15"
"2106508";"Matinha (MA)";"53,66"
"2106607";"Matões (MA)";"15,26"
"2106631";"Matões do Norte (MA)";"21,94"
"2106672";"Milagres do Maranhão (MA)";"13,89"
"2106706";"Mirador (MA)";"2,47"
"2106755";"Miranda do Norte (MA)";"69,96"
"2106805";"Mirinzal (MA)";"20,35"
"2106904";"Monção (MA)";"22,28"
"2107001";"Montes Altos (MA)";"6,12"
"2107100";"Morros (MA)";"10,84"
"2107209";"Nina Rodrigues (MA)";"24,83"
