"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Brasil e Município";"Ano"
"Cód.";"Brasil e Município";"2023"
"1";"Brasil";"10943345438,880"
"2100055";"Açailândia (MA)";"4274161,961"
"2100105";"Afonso Cunha (MA)";"105581,152"
"2100154";"Água Doce do Maranhão (MA)";"130745,967"
"2100204";"Alcântara (MA)";"170260,679"
"2100303";"Aldeias Altas (MA)";"335245,811"
"2100402";"Altamira do Maranhão (MA)";"88342,755"
"2100436";"Alto Alegre do Maranhão (MA)";"378314,119"
"2100477";"Alto Alegre do Pindaré (MA)";"310141,738"
"2100501";"Alto Parnaíba (MA)";"573769,442"
"2100550";"Amapá do Maranhão (MA)";"95025,625"
"2100600";"Amarante do Maranhão (MA)";"500782,201"
"2100709";"Anajatuba (MA)";"255438,614"
"2100808";"Anapurus (MA)";"192812,583"
"2100832";"Apicum-Açu (MA)";"170117,237"
"2100873";"Araguanã (MA)";"127935,136"
"2100907";"Araioses (MA)";"351323,823"
"2100956";"Arame (MA)";"320623,290"
"2101004";"Arari (MA)";"422712,588"
"2101103";"Axixá (MA)";"118130,837"
"2101202";"Bacabal (MA)";"1912868,327"
"2101251";"Bacabeira (MA)";"466225,901"
"2101301";"Bacuri (MA)";"156363,090"
"2101350";"Bacurituba (MA)";"52137,831"
"2101400";"Balsas (MA)";"7529798,468"
"2101509";"Barão de Grajaú (MA)";"309909,634"
"2101608";"Barra do Corda (MA)";"1157930,001"
"2101707";"Barreirinhas (MA)";"816789,021"
"2101731";"Belágua (MA)";"100862,708"
"2101772";"Bela Vista do Maranhão (MA)";"133413,541"
"2101806";"Benedito Leite (MA)";"94453,921"
"2101905";"Bequimão (MA)";"166173,290"
"2101939";"Bernardo do Mearim (MA)";"276117,942"
"2101970";"Boa Vista do Gurupi (MA)";"93312,366"
"2102002";"Bom Jardim (MA)";"571100,823"
"2102036";"Bom Jesus das Selvas (MA)";"456765,664"
"2102077";"Bom Lugar (MA)";"149055,868"
"2102101";"Brejo (MA)";"426438,571"
"2102150";"Brejo de Areia (MA)";"90088,922"
"2102200";"Buriti (MA)";"332530,155"
"2102309";"Buriti Bravo (MA)";"309327,357"
"2102325";"Buriticupu (MA)";"1008378,406"
"2102358";"Buritirana (MA)";"156523,814"
"2102374";"Cachoeira Grande (MA)";"85042,509"
"2102408";"Cajapió (MA)";"81775,000"
"2102507";"Cajari (MA)";"155103,283"
"2102556";"Campestre do Maranhão (MA)";"303257,204"
"2102606";"Cândido Mendes (MA)";"204525,824"
"2102705";"Cantanhede (MA)";"233272,809"
"2102754";"Capinzal do Norte (MA)";"215753,536"
"2102804";"Carolina (MA)";"595613,673"
"2102903";"Carutapera (MA)";"246447,079"
"2103000";"Caxias (MA)";"2696021,094"
"2103109";"Cedral (MA)";"86164,881"
"2103125";"Central do Maranhão (MA)";"69154,233"
"2103158";"Centro do Guilherme (MA)";"137520,372"
"2103174";"Centro Novo do Maranhão (MA)";"236610,365"
"2103208";"Chapadinha (MA)";"1130461,995"
"2103257";"Cidelândia (MA)";"242329,810"
"2103307";"Codó (MA)";"1808033,367"
"2103406";"Coelho Neto (MA)";"486211,267"
"2103505";"Colinas (MA)";"729810,029"
"2103554";"Conceição do Lago-Açu (MA)";"159749,781"
"2103604";"Coroatá (MA)";"637484,029"
"2103703";"Cururupu (MA)";"343104,472"
"2103752";"Davinópolis (MA)";"218071,737"
"2103802";"Dom Pedro (MA)";"314607,700"
"2103901";"Duque Bacelar (MA)";"108747,560"
"2104008";"Esperantinópolis (MA)";"202856,260"
"2104057";"Estreito (MA)";"1195398,792"
"2104073";"Feira Nova do Maranhão (MA)";"132982,829"
"2104081";"Fernando Falcão (MA)";"159760,766"
"2104099";"Formosa da Serra Negra (MA)";"257047,956"
"2104107";"Fortaleza dos Nogueiras (MA)";"354448,271"
"2104206";"Fortuna (MA)";"214306,894"
"2104305";"Godofredo Viana (MA)";"855185,573"
"2104404";"Gonçalves Dias (MA)";"187079,581"
"2104503";"Governador Archer (MA)";"123047,257"
"2104552";"Governador Edison Lobão (MA)";"448007,297"
"2104602";"Governador Eugênio Barros (MA)";"195174,375"
"2104628";"Governador Luiz Rocha (MA)";"108305,113"
"2104651";"Governador Newton Bello (MA)";"120254,032"
"2104677";"Governador Nunes Freire (MA)";"324762,474"
"2104701";"Graça Aranha (MA)";"66886,203"
"2104800";"Grajaú (MA)";"1415487,969"
"2104909";"Guimarães (MA)";"104271,141"
"2105005";"Humberto de Campos (MA)";"241228,091"
"2105104";"Icatu (MA)";"211920,611"
"2105153";"Igarapé do Meio (MA)";"464887,219"
"2105203";"Igarapé Grande (MA)";"138143,859"
"2105302";"Imperatriz (MA)";"9475802,055"
"2105351";"Itaipava do Grajaú (MA)";"136088,926"
"2105401";"Itapecuru Mirim (MA)";"889928,415"
"2105427";"Itinga do Maranhão (MA)";"687513,901"
"2105450";"Jatobá (MA)";"83460,163"
"2105476";"Jenipapo dos Vieiras (MA)";"174125,275"
"2105500";"João Lisboa (MA)";"362691,779"
"2105609";"Joselândia (MA)";"139773,509"
"2105658";"Junco do Maranhão (MA)";"71490,623"
"2105708";"Lago da Pedra (MA)";"621148,067"
"2105807";"Lago do Junco (MA)";"108264,187"
"2105906";"Lago Verde (MA)";"169405,214"
"2105922";"Lagoa do Mato (MA)";"211546,724"
"2105948";"Lago dos Rodrigues (MA)";"104301,153"
"2105963";"Lagoa Grande do Maranhão (MA)";"128790,836"
"2105989";"Lajeado Novo (MA)";"122752,409"
"2106003";"Lima Campos (MA)";"237816,923"
"2106102";"Loreto (MA)";"390947,299"
"2106201";"Luís Domingues (MA)";"72747,495"
"2106300";"Magalhães de Almeida (MA)";"181566,593"
"2106326";"Maracaçumé (MA)";"275246,484"
