"Tabela 9515 - Índice de envelhecimento, idade mediana e razão de sexo da população"
"Variável - Idade mediana (Anos)"
"Cód.";"Brasil e Município";"Ano"
"Cód.";"Brasil e Município";"2022"
"1";"Brasil";"35"
"2100055";"Açailândia (MA)";"30"
"2100105";"Afonso Cunha (MA)";"25"
"2100154";"Água Doce do Maranhão (MA)";"30"
"2100204";"Alcântara (MA)";"33"
"2100303";"Aldeias Altas (MA)";"26"
"2100402";"Altamira do Maranhão (MA)";"31"
"2100436";"Alto Alegre do Maranhão (MA)";"28"
"2100477";"Alto Alegre do Pindaré (MA)";"27"
"2100501";"Alto Parnaíba (MA)";"28"
"2100550";"Amapá do Maranhão (MA)";"25"
"2100600";"Amarante do Maranhão (MA)";"24"
"2100709";"Anajatuba (MA)";"32"
"2100808";"Anapurus (MA)";"28"
"2100832";"Apicum-Açu (MA)";"28"
"2100873";"Araguanã (MA)";"28"
"2100907";"Araioses (MA)";"31"
"2100956";"Arame (MA)";"25"
"2101004";"Arari (MA)";"31"
"2101103";"Axixá (MA)";"29"
"2101202";"Bacabal (MA)";"30"
"2101251";"Bacabeira (MA)";"29"
"2101301";"Bacuri (MA)";"30"
"2101350";"Bacurituba (MA)";"33"
"2101400";"Balsas (MA)";"27"
"2101509";"Barão de Grajaú (MA)";"32"
"2101608";"Barra do Corda (MA)";"29"
"2101707";"Barreirinhas (MA)";"26"
"2101731";"Belágua (MA)";"22"
"2101772";"Bela Vista do Maranhão (MA)";"28"
"2101806";"Benedito Leite (MA)";"32"
"2101905";"Bequimão (MA)";"35"
"2101939";"Bernardo do Mearim (MA)";"32"
"2101970";"Boa Vista do Gurupi (MA)";"25"
"2102002";"Bom Jardim (MA)";"27"
"2102036";"Bom Jesus das Selvas (MA)";"25"
"2102077";"Bom Lugar (MA)";"31"
"2102101";"Brejo (MA)";"29"
"2102150";"Brejo de Areia (MA)";"27"
"2102200";"Buriti (MA)";"25"
"2102309";"Buriti Bravo (MA)";"30"
"2102325";"Buriticupu (MA)";"26"
"2102358";"Buritirana (MA)";"31"
"2102374";"Cachoeira Grande (MA)";"25"
"2102408";"Cajapió (MA)";"30"
"2102507";"Cajari (MA)";"28"
"2102556";"Campestre do Maranhão (MA)";"30"
"2102606";"Cândido Mendes (MA)";"28"
"2102705";"Cantanhede (MA)";"27"
"2102754";"Capinzal do Norte (MA)";"31"
"2102804";"Carolina (MA)";"32"
"2102903";"Carutapera (MA)";"28"
"2103000";"Caxias (MA)";"31"
"2103109";"Cedral (MA)";"34"
"2103125";"Central do Maranhão (MA)";"29"
"2103158";"Centro do Guilherme (MA)";"23"
"2103174";"Centro Novo do Maranhão (MA)";"24"
"2103208";"Chapadinha (MA)";"28"
"2103257";"Cidelândia (MA)";"30"
"2103307";"Codó (MA)";"30"
"2103406";"Coelho Neto (MA)";"30"
"2103505";"Colinas (MA)";"29"
"2103554";"Conceição do Lago-Açu (MA)";"26"
"2103604";"Coroatá (MA)";"30"
"2103703";"Cururupu (MA)";"33"
"2103752";"Davinópolis (MA)";"29"
"2103802";"Dom Pedro (MA)";"31"
"2103901";"Duque Bacelar (MA)";"27"
"2104008";"Esperantinópolis (MA)";"31"
"2104057";"Estreito (MA)";"30"
"2104073";"Feira Nova do Maranhão (MA)";"29"
"2104081";"Fernando Falcão (MA)";"23"
"2104099";"Formosa da Serra Negra (MA)";"28"
"2104107";"Fortaleza dos Nogueiras (MA)";"29"
"2104206";"Fortuna (MA)";"29"
"2104305";"Godofredo Viana (MA)";"28"
