"Tabela 9515 - Índice de envelhecimento, idade mediana e razão de sexo da população"
"Variável - Índice de envelhecimento (Razão)"
"Cód.";"Unidade da Federação e Município";"Ano"
"Cód.";"Unidade da Federação e Município";"2022"
"21";"Maranhão";"34,79"
"2100055";"Açailândia (MA)";"30,18"
"2100105";"Afonso Cunha (MA)";"24,06"
"2100154";"Água Doce do Maranhão (MA)";"40,50"
"2100204";"Alcântara (MA)";"49,12"
"2100303";"Aldeias Altas (MA)";"25,71"
"2100402";"Altamira do Maranhão (MA)";"40,44"
"2100436";"Alto Alegre do Maranhão (MA)";"31,06"
"2100477";"Alto Alegre do Pindaré (MA)";"31,49"
"2100501";"Alto Parnaíba (MA)";"34,49"
"2100550";"Amapá do Maranhão (MA)";"23,50"
"2100600";"Amarante do Maranhão (MA)";"23,37"
"2100709";"Anajatuba (MA)";"44,48"
"2100808";"Anapurus (MA)";"31,57"
"2100832";"Apicum-Açu (MA)";"28,30"
"2100873";"Araguanã (MA)";"35,20"
"2100907";"Araioses (MA)";"43,71"
"2100956";"Arame (MA)";"23,97"
"2101004";"Arari (MA)";"42,20"
"2101103";"Axixá (MA)";"40,15"
"2101202";"Bacabal (MA)";"38,17"
"2101251";"Bacabeira (MA)";"26,98"
"2101301";"Bacuri (MA)";"39,81"
"2101350";"Bacurituba (MA)";"57,23"
"2101400";"Balsas (MA)";"22,45"
"2101509";"Barão de Grajaú (MA)";"45,10"
"2101608";"Barra do Corda (MA)";"36,30"
"2101707";"Barreirinhas (MA)";"23,05"
"2101731";"Belágua (MA)";"15,13"
"2101772";"Bela Vista do Maranhão (MA)";"33,01"
"2101806";"Benedito Leite (MA)";"47,04"
"2101905";"Bequimão (MA)";"60,35"
"2101939";"Bernardo do Mearim (MA)";"45,29"
"2101970";"Boa Vista do Gurupi (MA)";"22,71"
"2102002";"Bom Jardim (MA)";"31,54"
"2102036";"Bom Jesus das Selvas (MA)";"22,63"
"2102077";"Bom Lugar (MA)";"42,06"
"2102101";"Brejo (MA)";"37,50"
"2102150";"Brejo de Areia (MA)";"27,18"
"2102200";"Buriti (MA)";"28,03"
"2102309";"Buriti Bravo (MA)";"41,22"
"2102325";"Buriticupu (MA)";"25,92"
"2102358";"Buritirana (MA)";"41,47"
"2102374";"Cachoeira Grande (MA)";"24,94"
"2102408";"Cajapió (MA)";"39,43"
"2102507";"Cajari (MA)";"31,39"
"2102556";"Campestre do Maranhão (MA)";"32,07"
"2102606";"Cândido Mendes (MA)";"28,22"
"2102705";"Cantanhede (MA)";"29,76"
"2102754";"Capinzal do Norte (MA)";"40,44"
"2102804";"Carolina (MA)";"46,46"
"2102903";"Carutapera (MA)";"26,38"
"2103000";"Caxias (MA)";"41,84"
"2103109";"Cedral (MA)";"50,80"
"2103125";"Central do Maranhão (MA)";"37,12"
"2103158";"Centro do Guilherme (MA)";"18,45"
"2103174";"Centro Novo do Maranhão (MA)";"19,44"
"2103208";"Chapadinha (MA)";"32,68"
"2103257";"Cidelândia (MA)";"39,24"
"2103307";"Codó (MA)";"39,01"
"2103406";"Coelho Neto (MA)";"39,08"
"2103505";"Colinas (MA)";"33,78"
"2103554";"Conceição do Lago-Açu (MA)";"24,52"
"2103604";"Coroatá (MA)";"38,50"
"2103703";"Cururupu (MA)";"48,53"
"2103752";"Davinópolis (MA)";"34,33"
"2103802";"Dom Pedro (MA)";"41,76"
"2103901";"Duque Bacelar (MA)";"32,28"
"2104008";"Esperantinópolis (MA)";"44,73"
"2104057";"Estreito (MA)";"31,64"
"2104073";"Feira Nova do Maranhão (MA)";"40,05"
"2104081";"Fernando Falcão (MA)";"17,70"
"2104099";"Formosa da Serra Negra (MA)";"32,35"
"2104107";"Fortaleza dos Nogueiras (MA)";"34,01"
"2104206";"Fortuna (MA)";"39,46"
"2104305";"Godofredo Viana (MA)";"23,72"
"2104404";"Gonçalves Dias (MA)";"42,88"
"2104503";"Governador Archer (MA)";"43,85"
"2104552";"Governador Edison Lobão (MA)";"32,57"
"2104602";"Governador Eugênio Barros (MA)";"43,43"
"2104628";"Governador Luiz Rocha (MA)";"39,64"
"2104651";"Governador Newton Bello (MA)";"27,32"
"2104677";"Governador Nunes Freire (MA)";"26,12"
"2104701";"Graça Aranha (MA)";"50,07"
"2104800";"Grajaú (MA)";"24,01"
"2104909";"Guimarães (MA)";"62,44"
"2105005";"Humberto de Campos (MA)";"26,89"
"2105104";"Icatu (MA)";"32,49"
"2105153";"Igarapé do Meio (MA)";"26,61"
"2105203";"Igarapé Grande (MA)";"50,38"
"2105302";"Imperatriz (MA)";"35,28"
"2105351";"Itaipava do Grajaú (MA)";"23,68"
"2105401";"Itapecuru Mirim (MA)";"30,41"
"2105427";"Itinga do Maranhão (MA)";"35,17"
"2105450";"Jatobá (MA)";"33,74"
"2105476";"Jenipapo dos Vieiras (MA)";"16,89"
"2105500";"João Lisboa (MA)";"37,67"
"2105609";"Joselândia (MA)";"36,55"
"2105658";"Junco do Maranhão (MA)";"31,17"
"2105708";"Lago da Pedra (MA)";"36,52"
"2105807";"Lago do Junco (MA)";"39,93"
"2105906";"Lago Verde (MA)";"32,41"
"2105922";"Lagoa do Mato (MA)";"39,63"
"2105948";"Lago dos Rodrigues (MA)";"48,21"
"2105963";"Lagoa Grande do Maranhão (MA)";"25,45"
"2105989";"Lajeado Novo (MA)";"40,37"
"2106003";"Lima Campos (MA)";"47,70"
"2106102";"Loreto (MA)";"39,47"
"2106201";"Luís Domingues (MA)";"31,69"
"2106300";"Magalhães de Almeida (MA)";"42,86"
"2106326";"Maracaçumé (MA)";"22,68"
"2106359";"Marajá do Sena (MA)";"17,71"
"2106375";"Maranhãozinho (MA)";"21,04"
"2106409";"Mata Roma (MA)";"31,30"
"2106508";"Matinha (MA)";"37,21"
"2106607";"Matões (MA)";"35,29"
"2106631";"Matões do Norte (MA)";"21,49"
"2106672";"Milagres do Maranhão (MA)";"33,56"
"2106706";"Mirador (MA)";"37,32"
"2106755";"Miranda do Norte (MA)";"31,35"
"2106805";"Mirinzal (MA)";"40,64"
"2106904";"Monção (MA)";"29,06"
"2107001";"Montes Altos (MA)";"39,87"
"2107100";"Morros (MA)";"27,86"
"2107209";"Nina Rodrigues (MA)";"21,60"
"2107258";"Nova Colinas (MA)";"36,23"
"2107308";"Nova Iorque (MA)";"58,76"
"2107357";"Nova Olinda do Maranhão (MA)";"36,03"
"2107407";"Olho d'Água das Cunhãs (MA)";"45,89"
"2107456";"Olinda Nova do Maranhão (MA)";"35,03"
"2107506";"Paço do Lumiar (MA)";"28,07"
"2107605";"Palmeirândia (MA)";"35,72"
"2107704";"Paraibano (MA)";"45,19"
"2107803";"Parnarama (MA)";"37,69"
"2107902";"Passagem Franca (MA)";"39,86"
"2108009";"Pastos Bons (MA)";"38,43"
"2108058";"Paulino Neves (MA)";"26,16"
"2108108";"Paulo Ramos (MA)";"34,13"
"2108207";"Pedreiras (MA)";"51,61"
"2108256";"Pedro do Rosário (MA)";"26,37"
"2108306";"Penalva (MA)";"31,18"
"2108405";"Peri Mirim (MA)";"52,67"
"2108454";"Peritoró (MA)";"34,45"
"2108504";"Pindaré-Mirim (MA)";"34,25"
"2108603";"Pinheiro (MA)";"37,59"
"2108702";"Pio XII (MA)";"36,37"
"2108801";"Pirapemas (MA)";"32,72"
"2108900";"Poção de Pedras (MA)";"54,44"
"2109007";"Porto Franco (MA)";"34,90"
"2109056";"Porto Rico do Maranhão (MA)";"56,47"
"2109106";"Presidente Dutra (MA)";"37,34"
"2109205";"Presidente Juscelino (MA)";"23,99"
"2109239";"Presidente Médici (MA)";"39,20"
"2109270";"Presidente Sarney (MA)";"28,24"
"2109304";"Presidente Vargas (MA)";"25,32"
"2109403";"Primeira Cruz (MA)";"27,09"
"2109452";"Raposa (MA)";"22,32"
"2109502";"Riachão (MA)";"42,51"
"2109551";"Ribamar Fiquene (MA)";"37,97"
