"Tabela 10125 - Pessoas residentes de 2 anos ou mais de idade, total e pessoas com deficiência, por sexo e grupos de idade"
"Variável - Pessoas de 2 anos ou mais de idade com deficiência (Pessoas)"
"Cód.";"Brasil e Município";"Grupo de idade";"Ano x Sexo"
"Cód.";"Brasil e Município";"Grupo de idade";"2022"
"Cód.";"Brasil e Município";"Grupo de idade";"Total"
"1";"Brasil";"Total";"14400869"
"2100055";"Açailândia (MA)";"Total";"8812"
"2100105";"Afonso Cunha (MA)";"Total";"413"
"2100154";"Água Doce do Maranhão (MA)";"Total";"747"
"2100204";"Alcântara (MA)";"Total";"1582"
"2100303";"Aldeias Altas (MA)";"Total";"1715"
"2100402";"Altamira do Maranhão (MA)";"Total";"695"
"2100436";"Alto Alegre do Maranhão (MA)";"Total";"2528"
"2100477";"Alto Alegre do Pindaré (MA)";"Total";"2022"
"2100501";"Alto Parnaíba (MA)";"Total";"690"
"2100550";"Amapá do Maranhão (MA)";"Total";"560"
"2100600";"Amarante do Maranhão (MA)";"Total";"2252"
"2100709";"Anajatuba (MA)";"Total";"2626"
"2100808";"Anapurus (MA)";"Total";"741"
"2100832";"Apicum-Açu (MA)";"Total";"1534"
"2100873";"Araguanã (MA)";"Total";"897"
"2100907";"Araioses (MA)";"Total";"3874"
"2100956";"Arame (MA)";"Total";"1640"
"2101004";"Arari (MA)";"Total";"2673"
"2101103";"Axixá (MA)";"Total";"1037"
"2101202";"Bacabal (MA)";"Total";"8451"
"2101251";"Bacabeira (MA)";"Total";"1273"
"2101301";"Bacuri (MA)";"Total";"1560"
"2101350";"Bacurituba (MA)";"Total";"500"
"2101400";"Balsas (MA)";"Total";"7575"
"2101509";"Barão de Grajaú (MA)";"Total";"1869"
"2101608";"Barra do Corda (MA)";"Total";"8640"
"2101707";"Barreirinhas (MA)";"Total";"5936"
"2101731";"Belágua (MA)";"Total";"722"
"2101772";"Bela Vista do Maranhão (MA)";"Total";"1015"
"2101806";"Benedito Leite (MA)";"Total";"390"
"2101905";"Bequimão (MA)";"Total";"2347"
"2101939";"Bernardo do Mearim (MA)";"Total";"358"
"2101970";"Boa Vista do Gurupi (MA)";"Total";"684"
"2102002";"Bom Jardim (MA)";"Total";"2808"
"2102036";"Bom Jesus das Selvas (MA)";"Total";"2528"
"2102077";"Bom Lugar (MA)";"Total";"1139"
"2102101";"Brejo (MA)";"Total";"3460"
"2102150";"Brejo de Areia (MA)";"Total";"698"
"2102200";"Buriti (MA)";"Total";"2832"
"2102309";"Buriti Bravo (MA)";"Total";"2193"
"2102325";"Buriticupu (MA)";"Total";"5126"
"2102358";"Buritirana (MA)";"Total";"1012"
"2102374";"Cachoeira Grande (MA)";"Total";"1044"
"2102408";"Cajapió (MA)";"Total";"538"
"2102507";"Cajari (MA)";"Total";"1292"
"2102556";"Campestre do Maranhão (MA)";"Total";"1092"
"2102606";"Cândido Mendes (MA)";"Total";"1702"
"2102705";"Cantanhede (MA)";"Total";"1855"
"2102754";"Capinzal do Norte (MA)";"Total";"1199"
"2102804";"Carolina (MA)";"Total";"1966"
"2102903";"Carutapera (MA)";"Total";"1834"
"2103000";"Caxias (MA)";"Total";"14216"
"2103109";"Cedral (MA)";"Total";"867"
"2103125";"Central do Maranhão (MA)";"Total";"717"
"2103158";"Centro do Guilherme (MA)";"Total";"946"
"2103174";"Centro Novo do Maranhão (MA)";"Total";"1412"
"2103208";"Chapadinha (MA)";"Total";"5716"
"2103257";"Cidelândia (MA)";"Total";"1152"
"2103307";"Codó (MA)";"Total";"10944"
"2103406";"Coelho Neto (MA)";"Total";"3605"
"2103505";"Colinas (MA)";"Total";"3641"
"2103554";"Conceição do Lago-Açu (MA)";"Total";"1075"
